0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
7766.029785,8101.910156,7694.100098,8036.490234,1.673360,1.701230,1.567800,1.613770,347.401001,371.290985,344.739990,354.385986,1260.949951,1262.339966,1144.079956,1172.050049,0.001355,0.001421,0.001340,0.001376,,,,,,9908.677734,10342.898438,9816.902344,10281.082031,51446.062500,53671.105469,50969.566406,53237.730469,6585.287598,6874.181152,6524.293945,6848.308594,5878.457031,6133.628906,5824.010254,6089.172852,870338.937500,907900.062500,862277.812500,900167.250000,8307.78,,,,1
8039.069824,8336.860352,7949.359863,8200.639648,1.625590,1.660650,1.555610,1.624450,354.093994,372.136993,353.289001,366.730011,1172.430054,1236.010010,1167.280029,1236.010010,0.001374,0.001428,0.001348,0.001394,,,,,,10284.381836,10679.518555,10164.846680,10506.659180,53254.816406,55273.382813,52740.027344,54370.242188,6850.506836,7106.086426,6774.060547,6987.593262,6091.127441,6298.625000,6023.154785,6193.368652,900456.187500,938480.375000,890407.812500,922900.000000,8179.46,,,,1
8205.740234,8348.660156,7762.709961,8071.259766,1.658170,1.659670,1.549840,1.574060,367.442993,372.470001,350.692993,360.401001,1220.780029,1224.150024,1140.880005,1176.969971,0.001410,0.001446,0.001302,0.001389,,,,,,10513.194336,10655.394531,9939.374023,10308.613281,54404.058594,55322.398438,51497.816406,53484.203125,6991.939453,7113.718750,6613.879395,6875.008301,6197.220703,6302.778320,5860.417969,6093.356445,923474.000000,937888.500000,873848.250000,906644.625000,13686.34,,,,1
8077.950195,8302.259766,8075.470215,8253.549805,1.590490,1.621370,1.558230,1.611750,360.312012,381.420013,360.147003,380.652008,1175.060059,1335.250000,1171.599976,1303.310059,0.001401,0.002053,0.001373,0.001823,,,,,,10317.158203,10587.041992,10311.568359,10484.484375,53528.535156,54916.957031,53512.101563,54544.410156,6880.707031,7066.354492,6880.938965,6986.245117,6098.407227,6272.010254,6094.694336,6199.150879,907396.125000,930351.250000,906148.500000,918372.500000,8078.58,,,,1
8232.379883,8267.400391,8038.770020,8038.770020,1.610600,1.616680,1.537590,1.548700,381.438995,425.548004,376.088013,410.165985,1302.229980,1683.810059,1299.949951,1683.810059,0.001819,0.002246,0.001819,0.001891,,,,,,10457.591797,10503.732422,10215.668945,10215.668945,54404.503906,54635.941406,52887.066406,52887.066406,6968.325684,6995.600098,6784.344727,6784.344727,6183.250488,6207.688965,6042.824707,6042.824707,916016.937500,919417.625000,894393.562500,894393.562500,7811.79,,,,1
8074.020020,8374.160156,7940.930176,8253.690430,1.569530,1.820180,1.555580,1.717710,412.501007,480.972992,402.757996,474.911011,1651.859985,1782.829956,1575.760010,1648.510010,0.001940,0.001978,0.001788,0.001908,,,,,,10260.464844,10657.793945,10095.304688,10489.615234,53118.976563,55298.765625,52232.261719,54472.707031,6814.094238,7069.784668,6702.903809,6918.433105,6069.322754,6291.157715,5971.521973,6189.494141,898315.437500,933048.937500,883984.375000,920534.062500,9289.99,,,,1
8241.709961,8790.919922,8191.149902,8790.919922,1.716970,1.957640,1.693970,1.873870,475.675995,485.191986,461.053009,466.276001,1634.000000,1656.550049,1535.770020,1571.270020,0.001923,0.002072,0.001877,0.002072,,,,,,10474.389648,11172.379883,10410.132813,11172.379883,54393.636719,58018.312500,54059.949219,58018.312500,6908.390625,7368.750977,6866.009766,7368.750977,6180.509766,6592.365723,6142.594727,6592.365723,919197.937500,980451.312500,913558.937500,980451.312500,11611.67,,,,1
8789.040039,9522.929688,8775.589844,9330.549805,1.894740,1.935310,1.826740,1.853130,465.973999,472.722992,451.605988,471.329987,1571.390015,1758.609985,1563.349976,1735.660034,0.002073,0.002132,0.001880,0.002026,,,,,,11169.991211,12101.739258,11152.897461,11862.861328,58005.906250,62849.429688,57917.136719,61579.761719,7367.175293,7985.685059,7355.900879,7823.048340,6590.956055,7139.163086,6580.869629,7003.865723,980241.625000,1061330.500000,978741.562500,1041849.187500,12021.22,,,,1
9352.719727,9818.349609,9352.719727,9818.349609,1.870830,1.947270,1.789630,1.942980,471.531006,493.404999,468.484985,480.355011,1722.930054,1742.400024,1607.790039,1622.569946,0.001999,0.002036,0.001891,0.001988,,,,,,11891.047852,12526.250000,11890.112305,12526.250000,61726.078125,64768.707031,61726.078125,64768.707031,7841.636230,8247.941406,7842.951660,8247.941406,7020.507324,7371.133301,7021.561523,7371.133301,1044324.687500,1091015.000000,1044044.125000,1091015.000000,13272.45,,,,1
9823.429688,10125.700195,9736.299805,10058.799805,1.958850,1.958850,1.868040,1.917110,480.518005,482.480011,466.346985,472.902008,1621.170044,1629.479980,1543.079956,1546.180054,0.001991,0.002363,0.001949,0.002363,,,,,,12532.731445,12953.808594,12459.542969,12886.328125,64802.218750,66777.976563,64302.417969,66432.335938,8252.208984,8510.421875,8196.918945,8489.871094,7374.947266,7623.625977,7352.590332,7527.351563,1091579.500000,1125572.875000,1082968.625000,1122763.250000,11214.93,,,,1
