Date,Open,High,Low,Close,Adj Close,Volume
2014-11-24,43219.136719,45791.339844,43241.277344,44643.921875,44643.921875,3663670345
2014-11-25,44642.144531,46602.347656,44205.773438,44215.992188,44215.992188,2997091160
2014-11-26,44295.039063,44496.601563,43016.304688,43323.996094,43323.996094,2187745937
2014-11-27,43574.742188,43895.441406,43405.718750,43573.003906,43573.003906,1031130296
2014-11-28,43538.113281,45408.417969,42369.378906,44650.378906,44650.378906,2721684365
2014-11-29,44615.390625,45973.355469,44140.117188,44536.988281,44536.988281,1823699916
2014-11-30,44539.242188,45371.527344,44278.179688,44927.105469,44927.105469,1092667250
2014-12-01,44951.109375,45609.738281,44770.878906,44868.476563,44868.476563,1391680530
2014-12-02,44869.066406,45662.117188,44769.210938,45448.933594,45448.933594,1473677079
2014-12-03,45497.445313,45664.359375,44663.222656,44944.949219,44944.949219,1598810985
2014-12-04,45029.800781,45400.734375,44068.562500,44278.558594,44278.558594,1740646080
2014-12-05,44259.148438,46033.906250,43824.886719,45753.843750,45753.843750,1843222338
2014-12-06,45742.066406,45947.371094,45036.433594,45502.648438,45502.648438,851001541
2014-12-07,45508.839844,45681.847656,45319.316406,45611.550781,45611.550781,789384640
2014-12-08,45595.742188,45710.085938,43676.019531,43657.082031,43657.082031,2279750181
2014-12-09,43655.390625,43898.429688,41076.765625,42030.292969,42030.292969,3927806615
2014-12-10,42028.621094,42046.460938,40746.378906,40746.378906,40746.378906,1932554628
2014-12-11,40508.156250,42708.781250,40014.687500,41706.710938,41706.710938,3859000387
2014-12-12,41745.621094,41881.433594,41499.261719,41881.988281,41881.988281,2018388240
2014-12-13,41862.863281,41862.863281,41174.656250,41268.269531,41268.269531,1387096920
2014-12-14,41191.167969,41896.210938,41035.660156,41545.320313,41545.320313,1466855880
2014-12-15,41513.300781,41528.242188,40640.121094,40664.375000,40664.375000,2032859550
2014-12-16,40702.996094,40766.402344,38141.972656,38141.972656,38141.972656,3599464638
2014-12-17,38117.832031,39039.222656,36989.390625,37979.796875,37979.796875,4461939483
2014-12-18,37980.863281,38340.097656,36075.828125,37037.441406,37037.441406,4659236620
2014-12-19,37011.628906,38061.507813,36526.984375,37979.058594,37979.058594,2846622219
2014-12-20,37952.292969,39470.535156,37764.097656,39426.441406,39426.441406,2492167083
2014-12-21,39377.093750,39387.367188,38105.722656,38347.152344,38347.152344,1817612352
2014-12-22,38374.046875,39933.664063,38297.195313,39872.781250,39872.781250,2680936114
2014-12-23,39888.523438,40610.015625,39572.015625,40369.457031,40369.457031,1999842972
2014-12-24,40346.894531,40393.195313,38688.167969,38826.640625,38826.640625,1816811074
2014-12-25,38796.789063,38849.468750,38076.164063,38402.183594,38402.183594,1189792583
2014-12-26,38419.519531,39896.824219,38052.234375,39478.773438,39478.773438,1975660095
2014-12-27,39437.718750,39597.597656,37637.527344,38026.746094,38026.746094,1828146228
2014-12-28,38062.503906,38528.171875,37450.679688,38198.750000,38198.750000,1405979406
2014-12-29,38254.375000,38598.578125,37679.839844,37717.382813,37717.382813,1484050575
2014-12-30,37723.292969,37921.890625,37013.382813,37123.750000,37123.750000,1496756001
2014-12-31,37144.894531,38317.496094,37122.949219,38317.496094,38317.496094,1668546843
2015-01-01,38346.457031,38346.457031,37645.820313,37669.027344,37669.027344,963341249
2015-01-02,37648.652344,38008.062500,37652.886719,37951.906250,37951.906250,946972506
2015-01-03,37929.500000,37966.121094,33861.949219,33861.949219,33861.949219,3982063568
2015-01-04,33869.656250,34602.597656,31034.517578,31806.437500,31806.437500,6697187349
2015-01-05,31913.464844,33492.773438,31900.210938,32777.683594,32777.683594,5250037576
2015-01-06,32794.042969,34077.906250,32396.287109,33959.187500,33959.187500,2758334762
2015-01-07,33945.894531,35617.453125,33626.957031,35105.574219,35105.574219,2965863236
2015-01-08,35081.484375,35072.660156,33705.800781,33942.375000,33942.375000,2393703675
2015-01-09,33826.660156,34529.031250,33515.277344,34413.347656,34413.347656,2218154100
2015-01-10,34045.406250,34143.050781,32464.970703,32563.324219,32563.324219,1808819550
2015-01-11,32541.048828,33137.101563,31332.910156,31408.982422,31408.982422,2151880584
2015-01-12,31466.441406,32217.947266,31617.144531,31688.298828,31688.298828,2234105899
2015-01-13,31640.734375,31721.074219,25896.130859,26608.683594,26608.683594,8581740330
2015-01-14,26376.951172,26376.951172,20099.255859,20914.634766,20914.634766,11465713011
2015-01-15,20773.015625,26764.187500,20783.628906,24364.986328,24364.986328,9494721549
2015-01-16,24275.119141,25828.646484,23483.080078,24474.289063,24474.289063,4518693810
2015-01-17,24443.357422,24901.683594,22919.248047,23434.968750,23434.968750,2760271417
2015-01-18,23527.880859,25720.720703,22875.849609,24733.763672,24733.763672,3537706909
2015-01-19,24866.875000,25489.378906,24274.863281,25295.583984,25295.583984,2196641659
2015-01-20,25065.541016,25437.181641,24337.300781,25074.638672,25074.638672,2853903526
2015-01-21,25082.113281,26851.648438,24792.064453,26735.273438,26735.273438,3526015618
2015-01-22,26785.351563,27977.722656,26732.798828,27707.626953,27707.626953,3982079466
2015-01-23,27720.802734,27662.392578,26660.955078,27419.173828,27419.173828,2898958958
2015-01-24,27398.097656,29224.246094,27082.791016,29181.505859,29181.505859,2917891550
2015-01-25,29123.224609,30006.906250,28715.609375,29789.031250,29789.031250,3942944807
2015-01-26,29831.414063,36556.812500,29884.771484,32409.285156,32409.285156,12656156940
2015-01-27,32373.019531,32666.419922,29609.638672,31032.085938,31032.085938,5229314220
2015-01-28,31017.482422,31421.812500,26657.470703,27501.386719,27501.386719,5214488154
2015-01-29,27434.724609,28172.082031,26070.501953,27615.248047,27615.248047,3809556684
2015-01-30,27527.617188,28612.705078,26522.533203,26591.351563,26591.351563,3124514688
2015-01-31,26593.230469,27422.708984,25403.330078,25538.972656,25538.972656,2742012608
2015-02-01,25468.861328,27082.580078,24899.041016,26598.849609,26598.849609,3413568915
2015-02-02,26542.480469,28474.937500,26175.791016,28010.966797,28010.966797,3599370718
2015-02-03,27919.839844,28890.109375,26387.976563,26738.080078,26738.080078,4798202305
2015-02-04,26766.669922,26997.306641,25989.623047,26607.587891,26607.587891,3119245447
2015-02-05,26702.826172,28127.693359,25208.714844,25510.541016,25510.541016,2645677000
2015-02-06,25488.453125,27414.552734,25366.175781,26440.763672,26440.763672,2906823288
2015-02-07,26484.421875,27396.369141,26481.328125,27093.615234,27093.615234,2570035632
2015-02-08,27086.359375,27293.945313,26299.320313,26572.623047,26572.623047,2039250088
2015-02-09,26569.888672,26579.351563,25736.283203,26100.644531,26100.644531,3295492354
2015-02-10,26121.039063,26483.755859,25527.609375,26239.984375,26239.984375,2520298336
2015-02-11,26227.210938,26683.613281,26245.207031,26343.845703,26343.845703,2067496361
2015-02-12,26346.609375,26463.902344,26163.730469,26369.958984,26369.958984,1808169242
2015-02-13,26394.333984,28521.146484,26316.902344,27952.248047,27952.248047,5075042612
2015-02-14,27964.240234,30847.005859,27964.240234,30551.724609,30551.724609,5904739725
2015-02-15,30573.804688,31535.992188,26944.125000,27845.548828,27845.548828,6705983592
2015-02-16,27845.548828,28402.400391,27162.009766,27705.718750,27705.718750,3335650376
2015-02-17,27655.837891,29261.970703,27501.330078,29035.875000,29035.875000,3261407889
2015-02-18,29056.138672,29107.392578,27595.021484,28051.896484,28051.896484,2991334960
2015-02-19,28061.867188,28868.261719,27922.363281,28584.066406,28584.066406,2173458680
2015-02-20,28580.259766,29311.121094,28445.470703,29012.138672,29012.138672,2841566067
