Date,Open,High,Low,Close,Adj Close,Volume
2015-03-11,1825.383789,1862.054199,1819.451538,1855.717773,1855.717773,212658167
2015-03-12,1854.140015,1860.186890,1831.060913,1843.068115,1843.068115,204028971
2015-03-13,1841.590576,1842.762207,1785.781616,1785.781616,1785.781616,196651458
2015-03-14,1780.180176,1792.071533,1758.488403,1764.177368,1764.177368,141519080
2015-03-15,1761.298340,1793.241699,1758.613525,1792.390625,1792.390625,74914871
2015-03-16,1787.959595,1841.729370,1787.959595,1819.693237,1819.693237,134733818
2015-03-17,1819.705933,1826.988770,1777.053101,1784.120728,1784.120728,134336003
2015-03-18,1781.383545,1783.064697,1556.415161,1596.460938,1596.460938,355097131
2015-03-19,1593.850952,1637.123657,1548.728760,1616.579468,1616.579468,326701106
2015-03-20,1616.752808,1638.535034,1607.763184,1623.812256,1623.812256,114499830
2015-03-21,1623.161011,1626.585449,1585.975830,1613.117065,1613.117065,106270001
2015-03-22,1612.447021,1673.429565,1610.418457,1662.343384,1662.343384,114384441
2015-03-23,1661.940186,1722.984863,1626.352539,1657.388916,1657.388916,141741741
2015-03-24,1656.376221,1659.023071,1514.884155,1523.818726,1523.818726,248641279
2015-03-25,1535.464722,1547.868652,1470.011719,1529.277344,1529.277344,222790836
2015-03-26,1529.768066,1579.614624,1520.982544,1543.458252,1543.458252,159791019
2015-03-27,1543.669434,1595.952026,1524.047852,1535.161743,1535.161743,107354866
2015-03-28,1534.826172,1579.756958,1534.826172,1571.013184,1571.013184,99686173
2015-03-29,1570.652710,1573.132324,1496.762329,1508.339966,1508.339966,134850921
2015-03-30,1509.371582,1546.920532,1485.829956,1536.270142,1536.270142,142809082
2015-03-31,1535.823242,1543.120850,1504.739014,1513.944580,1513.944580,140543728
2015-04-01,1513.938477,1534.160156,1494.613281,1532.492920,1532.492920,141783735
2015-04-02,1531.358765,1576.843872,1520.744751,1567.821411,1567.821411,162806048
2015-04-03,1568.249023,1585.674316,1560.516357,1575.016235,1575.016235,143346894
2015-04-04,1574.824219,1580.812744,1555.062378,1571.145508,1571.145508,77372246
2015-04-05,1571.541870,1614.360229,1560.276855,1613.883423,1613.883423,121687496
2015-04-06,1614.645264,1621.315063,1576.583008,1582.261963,1582.261963,124071801
2015-04-07,1580.911865,1584.200317,1561.653320,1568.576660,1568.576660,114414777
2015-04-08,1567.858032,1574.359131,1514.621460,1519.626465,1519.626465,186595853
2015-04-09,1517.945801,1526.423828,1485.476929,1512.009521,1512.009521,134297918
2015-04-10,1512.121216,1512.121216,1445.042358,1465.535034,1465.535034,179299456
2015-04-11,1465.187378,1487.045654,1453.758423,1468.514771,1468.514771,101595162
2015-04-12,1468.409302,1475.815430,1449.536987,1466.037842,1466.037842,76904083
2015-04-13,1464.777588,1472.314087,1379.749512,1395.853149,1395.853149,193801123
2015-04-14,1396.922119,1398.270874,1343.647095,1361.262329,1361.262329,197016225
2015-04-15,1360.728149,1388.592773,1358.094604,1388.592773,1388.592773,139967879
2015-04-16,1389.113892,1422.749146,1389.113892,1415.941162,1415.941162,153662011
2015-04-17,1415.953491,1418.004028,1375.507690,1381.333496,1381.333496,126615728
2015-04-18,1381.153687,1390.220825,1368.901123,1384.271118,1384.271118,80190746
2015-04-19,1384.890869,1402.845337,1378.178955,1379.585815,1379.585815,93097248
2015-04-20,1379.660156,1403.489380,1375.724731,1392.793579,1392.793579,113870322
2015-04-21,1392.756226,1458.785400,1390.778320,1458.785400,1458.785400,154876089
2015-04-22,1460.850220,1473.489380,1446.033569,1450.369019,1450.369019,147701969
2015-04-23,1449.607178,1465.317383,1445.134277,1465.236816,1465.236816,105563574
2015-04-24,1462.188110,1464.263916,1423.975098,1432.242798,1432.242798,132831799
2015-04-25,1432.038330,1440.250244,1401.705078,1402.033325,1402.033325,86436940
2015-04-26,1402.157104,1405.464233,1330.714600,1358.929932,1358.929932,179248334
2015-04-27,1358.923828,1450.807129,1355.776001,1425.814941,1425.814941,239872419
